City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alice springs,-23.7,133.8833,21.75,33,40,3.6,AU,1692195160
83,tvoroyri,61.5556,-6.8111,11.32,81,100,2.71,FO,1692195161
84,kegen,43.0197,79.2203,11.79,46,3,1.61,KZ,1692195161
85,stornoway,58.2093,-6.3865,18.38,82,40,4.63,GB,1692195162
86,punta cardon,11.6581,-70.215,28.66,70,67,9.33,VE,1692195162
87,mount isa,-20.7333,139.5,12.87,62,5,0.0,AU,1692195163
88,bichena,10.45,38.2,17.55,76,100,3.52,ET,1692195164
89,talnakh,69.4865,88.3972,10.43,65,0,7.36,RU,1692195164
90,sechura,-5.5569,-80.8222,22.75,72,68,4.93,PE,1692195165
91,sitka,57.0531,-135.33,15.94,77,75,4.63,US,1692195165
92,los alamos,35.8881,-106.307,19.76,57,0,0.0,US,1692195166
93,samraong,12.4526,105.5873,25.71,91,99,1.43,KH,1692195166
94,okha,53.5739,142.9478,14.26,97,69,1.98,RU,1692195167
95,suozhen,36.9539,118.1047,26.88,58,0,1.26,CN,1692195168
96,punta arenas,-53.15,-70.9167,1.59,78,11,3.35,CL,1692195009
97,dudinka,69.4058,86.1778,10.64,59,0,7.18,RU,1692195169
98,vernon,50.2581,-119.2691,20.89,50,0,0.88,CA,1692195021
99,road town,18.4167,-64.6167,33.05,66,20,6.69,VG,1692195170
100,isangel,-19.55,169.2667,21.16,85,58,5.5,VU,1692195170
101,flying fish cove,-10.4217,105.6791,22.82,94,100,6.69,CX,1692195171
102,port shepstone,-30.7414,30.455,19.12,71,95,10.07,ZA,1692195172
103,gunjur,13.2019,-16.7339,25.25,90,100,5.0,GM,1692195173
104,ampanihy,-24.7,44.75,19.53,59,95,5.33,MG,1692195174
105,vuktyl,63.8567,57.3094,28.19,42,35,1.17,RU,1692195174
106,ust-nera,64.5667,143.2,13.51,95,100,1.06,RU,1692195175
107,whitehorse,60.7161,-135.0538,12.43,72,75,7.72,CA,1692194987
108,morag,53.9171,19.926,30.42,41,100,3.95,PL,1692195176
109,lebu,-37.6167,-73.65,11.81,96,99,2.43,CL,1692195176
110,owando,-0.4819,15.8999,32.53,41,82,1.51,CG,1692195177
111,namibe,-15.1961,12.1522,19.96,72,88,5.11,AO,1692195178
112,togur,58.3631,82.8265,13.32,98,100,5.15,RU,1692195178
113,opuwo,-18.0607,13.84,30.69,12,39,0.97,NA,1692195179
114,ouahigouya,13.5828,-2.4216,31.29,53,96,3.61,BF,1692195179
115,kununurra,-15.7667,128.7333,21.99,73,7,1.03,AU,1692195180
116,aleksandrovsk-sakhalinskiy,50.8975,142.1561,16.98,95,100,1.58,RU,1692195180
117,albany,42.6001,-73.9662,23.78,88,68,0.89,US,1692195181
118,vitkov,49.7744,17.7494,31.4,42,16,1.26,CZ,1692195182
119,papao,-17.75,-149.55,22.82,81,78,7.84,PF,1692195182
120,port mathurin,-19.6833,63.4167,23.04,76,1,7.74,MU,1692195183
121,orchard mesa,39.043,-108.5523,24.48,47,20,3.6,US,1692195183
